Shop name,category,remarks,city,district,lat,long,recommended by,Google Maps Link,Google Maps Coord Link
密陽血腸豬肉湯飯 (밀양순대돼지국밥),美食 (Food),海雲台超人氣傳統豬肉湯飯，湯頭濃郁無腥味，附新鮮韭菜與蝦醬，24小時營業適合早餐或宵夜。,釜山,海雲台區 (Haeundae-gu),35.1631,129.1592,"https://www.instagram.com/reel/DbfsIpsJzMY/
https://www.instagram.com/reel/DX_oaLmhbo-/","https://www.google.com/maps/search/?api=1&query=%E5%AF%86%E9%99%BD%E8%A1%80%E8%85%B8%E8%B1%AC%E8%82%89%E6%B9%AF%E9%A3%AF%20%28%EB%B0%80%EC%96%91%EC%88%9C%EB%8C%80%EB%8F%BC%EC%A7%80%EA%B5%AD%EB%B0%A5%29%2C%20%E9%87%9C%E5%B1%B1&center=35.1631,129.1592","https://www.google.com/maps/search/?api=1&query=35.1631,129.1592"
阿妹豬肉湯飯 (아매돼지국밥),美食 (Food),西面在地人私藏湯飯，豬肉切片厚實嫩滑，清湯鮮甜，搭配辣韭菜非常過癮。,釜山,釜山鎮區 (Busanjin-gu),35.1578,129.0595,https://www.instagram.com/reel/DZr9jNNzVFx/,"https://www.google.com/maps/search/?api=1&query=%E9%98%BF%E5%A6%B9%E8%B1%AC%E8%82%89%E6%B9%AF%E9%A3%AF%20%28%EC%95%84%EB%A7%A4%EB%8F%BC%EC%A7%80%EA%B5%AD%EB%B0%A5%29%2C%20%E9%87%9C%E5%B1%B1&center=35.1578,129.0595","https://www.google.com/maps/search/?api=1&query=35.1578,129.0595"
雙胞胎豬肉湯飯 (쌍둥이돼지국밥),美食 (Food),大淵洞經典老字號，白煮肉套餐（수육백반）極受歡迎，肉質軟嫩入口即化。,釜山,南區 (Nam-gu),35.1385,129.0912,https://www.instagram.com/reel/C8zPh7yx8HU/,"https://www.google.com/maps/search/?api=1&query=%E9%9B%99%E8%83%9E%E8%83%8E%E8%B1%AC%E8%82%89%E6%B9%AF%E9%A3%AF%20%28%EC%8C%8D%EB%91%A5%EC%9D%B4%EB%8F%BC%EC%A7%80%EA%B5%AD%EB%B0%A5%29%2C%20%E9%87%9C%E5%B1%B1&center=35.1385,129.0912","https://www.google.com/maps/search/?api=1&query=35.1385,129.0912"
海雲台有名暗牛갈비 (해운대소문난암소갈비집),美食 (Food),釜山最頂級秘製醬醬醃韓牛排骨，必點靈魂土豆麵（馬鈴薯麵）吸滿烤肉醬汁汁底。,釜山,海雲台區 (Haeundae-gu),35.1622,129.1645,https://www.instagram.com/reel/Db0HqbczsEy/,"https://www.google.com/maps/search/?api=1&query=%E6%B5%B7%E9%9B%B2%E5%8F%B0%E6%9C%89%E5%90%8D%E6%9A%97%E7%89%9B%EA%B0%88%EB%B9%84%20%28%ED%95%B4%EC%9A%B4%EB%8C%80%EC%86%8C%EB%AC%B8%EB%82%9C%EC%95%94%EC%86%8C%EA%B0%88%EB%B9%84%EC%A7%91%29%2C%20%E9%87%9C%E5%B1%B1&center=35.1622,129.1645","https://www.google.com/maps/search/?api=1&query=35.1622,129.1645"
味讚得王鹽烤肉 西面店 (맛찬들왕소금구이 서면점),美食 (Food),厚切3.5公分熟成五花肉，專人全程代烤至金黃酥脆，搭配老酸菜與紫蘇葉絕配。,釜山,釜山鎮區 (Busanjin-gu),35.1549,129.0578,"https://www.instagram.com/reel/DXRfa7rCZiO/
https://www.instagram.com/reel/DaURrf4uk53/","https://www.google.com/maps/search/?api=1&query=%E5%91%B3%E8%AE%9A%E5%BE%97%E7%8E%8B%E9%B9%BD%E7%83%A4%E8%82%89%20%E8%A5%BF%E9%9D%A2%E5%BA%97%20%28%EB%A7%9B%EC%B0%AC%EB%93%A4%EC%99%95%EC%86%8C%EA%B8%88%EA%B5%AC%EC%9D%B4%20%EC%84%9C%EB%A9%B4%EC%A0%90%29%2C%20%E9%87%9C%E5%B1%B1&center=35.1549,129.0578","https://www.google.com/maps/search/?api=1&query=35.1549,129.0578"
Toneou 炸豬排 廣安里店 (톤쇼우 광안점),美食 (Food),釜山天花板級別黑豬肉炸豬排（Berkshire K），外酥內嫩多汁，極難排隊，需提前用CatchTable搶號。,釜山,水營區 (Suyeong-gu),35.1528,129.1171,https://www.instagram.com/reel/DYKctK_v3-A/,"https://www.google.com/maps/search/?api=1&query=Toneou%20%E7%82%B8%E8%B1%AC%E6%8E%92%20%E5%BB%A3%E5%AE%89%E9%87%8C%E5%BA%97%20%28%ED%86%A4%EC%87%BC%EC%9A%B0%20%EA%B4%91%EC%95%88%EC%A0%90%29%2C%20%E9%87%9C%E5%B1%B1&center=35.1528,129.1171","https://www.google.com/maps/search/?api=1&query=35.1528,129.1171"
青沙浦秀敏家烤貝 (수민이네),美食 (Food),青沙浦紅白燈塔旁海景烤貝與烤穴子魚（海鰻），奶油起司烤大蛤蜊鮮甜無比，傍晚氣氛極佳。,釜山,海雲台區 (Haeundae-gu),35.1611,129.1912,"https://www.instagram.com/p/DC6RNYlTZ-8/
https://www.instagram.com/reel/DTfRpoOkjtb/","https://www.google.com/maps/search/?api=1&query=%E9%9D%92%E6%B2%99%E6%B5%A6%E7%A7%80%E6%95%8F%E5%AE%B6%E7%83%A4%E8%B2%9D%20%28%EC%88%98%EB%AF%BC%EC%9D%B4%EB%84%A4%29%2C%20%E9%87%9C%E5%B1%B1&center=35.1611,129.1912","https://www.google.com/maps/search/?api=1&query=35.1611,129.1912"
札嘎其市場 (자갈치시장),美食 (Food),韓國最大水產市場，一樓親自挑選活帝王蟹、生魚片、海膽，二樓代客料理，鮮味十足。,釜山,中區 (Jung-gu),35.0967,129.0306,https://www.instagram.com/reel/DbVm6nETHVe/,"https://www.google.com/maps/search/?api=1&query=%E6%9C%AD%E5%98%8E%E5%85%B6%E5%B8%82%E5%A0%B4%20%28%EC%9E%90%EA%B0%88%EC%B9%98%EC%8B%9C%EC%9E%A5%29%2C%20%E9%87%9C%E5%B1%B1&center=35.0967,129.0306","https://www.google.com/maps/search/?api=1&query=35.0967,129.0306"
民樂水邊公園/民樂生魚片城 (민락수변공원),美食 (Food),超平價外帶現切生魚片拼盤，帶到海灘一邊欣賞廣安大橋夜景一邊享用，在地浪漫體驗。,釜山,水營區 (Suyeong-gu),35.1554,129.1235,https://www.instagram.com/reel/DS190XYATSx/,"https://www.google.com/maps/search/?api=1&query=%E6%B0%91%E6%A8%82%E6%B0%B4%E9%82%8A%E5%85%AC%E5%9C%92/%E6%B0%91%E6%A8%82%E7%94%9F%E9%AD%9A%E7%89%87%E5%9F%8E%20%28%EB%AF%BC%EB%9D%BD%EC%88%98%EB%B3%80%EA%B3%B5%EC%9B%90%29%2C%20%E9%87%9C%E5%B1%B1&center=35.1554,129.1235","https://www.google.com/maps/search/?api=1&query=35.1554,129.1235"
李在摩披薩 西面店 (이재모피자 서면점),美食 (Food),釜山神級國民披薩！選用100%韓國純天然起司，起司餅邊爆漿濃郁，搭配特製蒜味沾醬必吃。,釜산,釜山鎮區 (Busanjin-gu),35.1552,129.0583,"https://www.instagram.com/reel/DKej9_VzSaT/
https://www.instagram.com/reel/DHVoymYyHfM/","https://www.google.com/maps/search/?api=1&query=%E6%9D%8E%E5%9C%A8%E6%91%A9%E6%8A%AB%E8%96%A9%20%E8%A5%BF%E9%9D%A2%E5%BA%97%20%28%EC%9D%B4%EC%9E%AC%EB%AA%A8%ED%94%BC%EC%9E%90%20%EC%84%9C%EB%A9%B4%EC%A0%90%29%2C%20%E9%87%9C%E5%B1%B1&center=35.1552,129.0583","https://www.google.com/maps/search/?api=1&query=35.1552,129.0583"
